Keyword Stats 2026-04-30 at 13_43_39,,,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2025 - March 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
wet carpet,USD,500,0%,0%,Medium,41,6.6,33.94,,,,,Y,,,,,,,,,,,,
cleaning carpet,USD,500000,0%,0%,High,94,2,11.09,,,,,Y,,,,,,,,,,,,
rug doctor carpet cleaner,USD,5000,0%,0%,High,100,0.25,3.21,,,,,Y,,,,,,,,,,,,
carpet cleaning companies near me,USD,50000,-90%,0%,Medium,50,2.99,15.15,,,,,Y,,,,,,,,,,,,
karcher carpet cleaner,USD,500,0%,0%,High,100,0.37,4,,,,,Y,,,,,,,,,,,,
carpet deep cleaning,USD,50000,0%,0%,High,86,2.08,10,,,,,Y,,,,,,,,,,,,
office carpet,USD,5000,0%,0%,High,100,1.01,12.39,,,,,Y,,,,,,,,,,,,
cheap carpet cleaning,USD,5000,0%,0%,High,91,0.53,9.09,,,,,Y,,,,,,,,,,,,
same day carpet cleaning near me,USD,500,0%,0%,High,86,3.84,16.62,,,,,Y,,,,,,,,,,,,
flooded carpet,USD,500,0%,0%,Low,20,11.6,70,,,,,Y,,,,,,,,,,,,
carpet cleaning specials near me,USD,5000,900%,0%,High,84,2.9,14,,,,,Y,,,,,,,,,,,,
tineco carpet cleaner,USD,5000,0%,0%,High,100,0.38,1.09,,,,,Y,,,,,,,,,,,,
industrial carpet cleaner,USD,5000,0%,0%,High,100,0.94,6,,,,,Y,,,,,,,,,,,,
zerorez carpet,USD,500,0%,0%,Medium,57,2.16,9.9,,,,,Y,,,,,,,,,,,,
upholstery steam cleaner,USD,5000,0%,0%,High,100,0.46,3.6,,,,,Y,,,,,,,,,,,,
carpet restoration near me,USD,500,0%,0%,High,79,5.74,41.91,,,,,Y,,,,,,,,,,,,
oriental rug cleaning,USD,5000,0%,0%,Medium,37,2.62,11,,,,,Y,,,,,,,,,,,,
best pet carpet cleaner,USD,5000,0%,0%,High,100,0.57,2.35,,,,,Y,,,,,,,,,,,,
bissell spot clean pet pro,USD,5000,0%,0%,High,100,0.38,1.54,,,,,Y,,,,,,,,,,,,
servicemaster carpet cleaning,USD,500,0%,0%,Medium,62,3.03,26.66,,,,,Y,,,,,,,,,,,,
bissell portable carpet cleaner,USD,5000,0%,0%,High,100,0.37,1.67,,,,,Y,,,,,,,,,,,,
carpet steam cleaning near me,USD,5000,0%,0%,High,77,2.69,13.82,,,,,Y,,,,,,,,,,,,
carpet cleaning cost,USD,5000,0%,0%,Medium,62,1.83,8,,,,,Y,,,,,,,,,,,,
carpet cleaning prices,USD,5000,0%,0%,Medium,62,1.83,8,,,,,Y,,,,,,,,,,,,
carpet restoration,USD,500,0%,0%,High,71,6.9,35.56,,,,,Y,,,,,,,,,,,,
affordable carpet cleaning,USD,5000,0%,0%,Medium,64,2.78,13.48,,,,,Y,,,,,,,,,,,,
coit carpet cleaning near me,USD,500,0%,0%,High,78,3.17,16.05,,,,,Y,,,,,,,,,,,,
deep cleaners near me,USD,5000,0%,-90%,Medium,41,3.52,15.21,,,,,Y,,,,,,,,,,,,
best rug cleaner,USD,5000,0%,0%,High,100,0.54,4.3,,,,,Y,,,,,,,,,,,,
carpet dry cleaning,USD,500,0%,-90%,High,74,1.92,9.46,,,,,Y,,,,,,,,,,,,
bissell turboclean powerbrush pet,USD,5000,0%,0%,High,100,0.32,1.6,,,,,Y,,,,,,,,,,,,
best carpet steam cleaner,USD,5000,0%,0%,High,100,0.54,2.92,,,,,Y,,,,,,,,,,,,
hoover cleanslate portable carpet cleaner,USD,500,0%,0%,High,92,0.4,0.77,,,,,Y,,,,,,,,,,,,
servpro carpet cleaning,USD,500,0%,0%,Medium,60,3.53,40,,,,,Y,,,,,,,,,,,,
top rated carpet cleaners,USD,5000,0%,0%,High,100,0.5,2.31,,,,,Y,,,,,,,,,,,,
oriental rugs near me,USD,5000,0%,0%,High,100,1.09,4.58,,,,,Y,,,,,,,,,,,,
hoover spot cleaner,USD,500,0%,-90%,High,100,0.29,0.8,,,,,Y,,,,,,,,,,,,
affordable carpet,USD,500,0%,0%,High,97,2.33,19.85,,,,,Y,,,,,,,,,,,,
bissell cleaner,USD,5000,0%,0%,High,100,0.4,3.12,,,,,Y,,,,,,,,,,,,
best carpet cleaners near me,USD,5000,0%,0%,High,79,2.76,12.91,,,,,Y,,,,,,,,,,,,
bissell spotclean proheat,USD,500,0%,0%,High,99,0.27,1.33,,,,,,,,,,,,,,,,,
best bissell carpet cleaner,USD,500,0%,-90%,High,100,0.6,7,,,,,,,,,,,,,,,,,
zerorez specials,USD,500,0%,0%,Medium,55,1.62,8,,,,,,,,,,,,,,,,,
carpet pricing,USD,5000,0%,0%,High,97,0.32,5.88,,,,,,,,,,,,,,,,,
best carpet cleaning company,USD,5000,900%,0%,High,79,2.4,13.3,,,,,,,,,,,,,,,,,
coit cleaning prices,USD,500,0%,0%,Medium,51,2.73,12.23,,,,,,,,,,,,,,,,,
carpet cleaning deals near me,USD,500,0%,0%,High,96,2.53,10.39,,,,,,,,,,,,,,,,,
carpet spot cleaner,USD,5000,0%,0%,High,100,0.41,3,,,,,,,,,,,,,,,,,
wool rug cleaning near me,USD,5000,0%,0%,High,78,2.2,11.25,,,,,,,,,,,,,,,,,
oriental carpet cleaning near me,USD,5000,0%,0%,High,68,2.27,11.59,,,,,,,,,,,,,,,,,
professional rug cleaning near me,USD,5000,0%,-90%,High,67,2.28,13,,,,,,,,,,,,,,,,,
hoover smartwash pet,USD,5000,0%,-90%,High,100,0.39,0.89,,,,,,,,,,,,,,,,,
heated carpet extractor,USD,5000,900%,0%,High,100,0.43,4,,,,,,,,,,,,,,,,,
best carpet cleaner for pet stains,USD,5000,0%,0%,High,100,0.6,4.26,,,,,,,,,,,,,,,,,
carpet cleaners in my area,USD,5000,900%,0%,High,74,2.02,15.23,,,,,,,,,,,,,,,,,
area rug cleaning pick up and delivery,USD,500,900%,0%,Medium,65,2.43,11.04,,,,,,,,,,,,,,,,,
stanley steemer carpet cleaning prices,USD,5000,0%,0%,Medium,43,1.07,5.55,,,,,,,,,,,,,,,,,
we clean carpet,USD,500,0%,-90%,High,73,4.52,8.08,,,,,,,,,,,,,,,,,
groupon carpet cleaning,USD,500,0%,0%,High,70,0.72,7.06,,,,,,,,,,,,,,,,,
oxiclean carpet cleaner,USD,5000,-90%,0%,High,96,0.87,4.81,,,,,,,,,,,,,,,,,
stanley carpet cleaner near me,USD,500,900%,0%,High,78,1.58,9.01,,,,,,,,,,,,,,,,,
carpet cleaner nearby,USD,5000,0%,0%,High,100,2.55,14.01,,,,,,,,,,,,,,,,,
carpet specials,USD,500,0%,0%,Medium,51,2.23,23.69,,,,,,,,,,,,,,,,,
wool rug cleaning,USD,5000,0%,0%,High,85,0.75,9.93,,,,,,,,,,,,,,,,,
carpet cleaning deals,USD,5000,0%,-90%,High,86,2.11,9.42,,,,,,,,,,,,,,,,,
carpet cleaning business,USD,5000,900%,0%,Medium,46,2.11,11.74,,,,,,,,,,,,,,,,,
steam cleaners near me,USD,5000,0%,0%,High,81,2.34,12.51,,,,,,,,,,,,,,,,,
carpet and upholstery cleaner near me,USD,500,0%,0%,High,75,2.99,15.9,,,,,,,,,,,,,,,,,
emergency carpet cleaning,USD,500,0%,0%,Medium,65,5.03,26.33,,,,,,,,,,,,,,,,,
bissell 3624,USD,500,0%,0%,High,100,0.42,2.48,,,,,,,,,,,,,,,,,
carpet washing,USD,5000,900%,0%,High,70,2.49,10.25,,,,,,,,,,,,,,,,,
best carpet and upholstery cleaner,USD,5000,0%,-90%,High,100,0.56,2.62,,,,,,,,,,,,,,,,,
home depot carpet cleaner,USD,5000,0%,-90%,High,100,0.37,4.26,,,,,,,,,,,,,,,,,
home carpet cleaners,USD,5000,0%,0%,High,98,0.67,6.94,,,,,,,,,,,,,,,,,
drying wet carpet,USD,500,0%,0%,High,79,7.47,35.42,,,,,,,,,,,,,,,,,
lounge cleaning,USD,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
upright bissell carpet cleaner,USD,5000,0%,0%,High,100,0.48,6,,,,,,,,,,,,,,,,,
carpet dry cleaning near me,USD,5000,0%,-90%,High,73,2.22,10.19,,,,,,,,,,,,,,,,,
bissell couch cleaner,USD,5000,-90%,-90%,High,100,0.39,2.87,,,,,,,,,,,,,,,,,
apartment carpet cleaning,USD,500,0%,-90%,High,92,2.72,10.29,,,,,,,,,,,,,,,,,
professional steam cleaner,USD,5000,0%,0%,High,100,0.54,3.7,,,,,,,,,,,,,,,,,
rug dry cleaning near me,USD,5000,0%,-90%,High,73,2.22,10.19,,,,,,,,,,,,,,,,,
carpet cleaning near me prices,USD,5000,900%,0%,High,76,1.99,9.33,,,,,,,,,,,,,,,,,
bissell spotbot pet,USD,5000,0%,0%,High,100,0.33,1.22,,,,,,,,,,,,,,,,,
carpet washing near me,USD,500000,0%,0%,Medium,64,2.77,14.71,,,,,,,,,,,,,,,,,
stanley steemer rug cleaning,USD,500,0%,0%,Medium,51,1.23,6.29,,,,,,,,,,,,,,,,,
best small carpet cleaner,USD,5000,0%,0%,High,100,0.39,1.33,,,,,,,,,,,,,,,,,
rug cleaning service near me,USD,500,-90%,-90%,Medium,66,2.44,13.06,,,,,,,,,,,,,,,,,
carpet shampooing,USD,50000,0%,0%,High,100,0.43,4.21,,,,,,,,,,,,,,,,,
carpet cleaner with attachments,USD,500,0%,-90%,High,100,0.39,1.14,,,,,,,,,,,,,,,,,
mytee carpet extractor,USD,500,0%,0%,High,100,0.63,5.18,,,,,,,,,,,,,,,,,
professional area rug cleaning,USD,5000,0%,0%,Medium,47,2.65,11.22,,,,,,,,,,,,,,,,,
area carpet cleaning near me,USD,50000,900%,0%,High,82,2.26,11,,,,,,,,,,,,,,,,,
rug cleaning cost,USD,500,0%,-90%,Medium,50,1.72,7.86,,,,,,,,,,,,,,,,,
carpet washing service,USD,50000,0%,0%,Low,19,3.04,14.87,,,,,,,,,,,,,,,,,
mini carpet cleaner,USD,5000,0%,0%,High,100,0.19,1.26,,,,,,,,,,,,,,,,,
all american carpet cleaning,USD,500,0%,0%,Low,16,2.87,13.51,,,,,,,,,,,,,,,,,
best home carpet steam cleaner,USD,5000,0%,0%,High,100,0.54,2.92,,,,,,,,,,,,,,,,,
steam cleaning services near me,USD,500,0%,0%,High,73,2.43,15.7,,,,,,,,,,,,,,,,,
sears carpet cleaning near me,USD,50,0%,-90%,Medium,65,2.28,12,,,,,,,,,,,,,,,,,
woodard carpet cleaning,USD,500,0%,0%,Medium,53,3.09,10.68,,,,,,,,,,,,,,,,,
best spot cleaner,USD,500,0%,0%,High,100,0.48,1.32,,,,,,,,,,,,,,,,,
wet carpet cleaner,USD,500,0%,0%,High,100,0.93,13.99,,,,,,,,,,,,,,,,,
eco carpet cleaning,USD,500,0%,0%,High,78,2.78,13.52,,,,,,,,,,,,,,,,,
spot clean pro,USD,500,0%,0%,High,100,0.37,1.69,,,,,,,,,,,,,,,,,
bissell green carpet cleaner,USD,5000,0%,0%,High,100,0.36,1.79,,,,,,,,,,,,,,,,,
elite carpet cleaning,USD,5000,0%,-90%,Medium,38,1.56,8.16,,,,,,,,,,,,,,,,,
best spot carpet cleaner,USD,5000,0%,0%,High,100,0.47,1.71,,,,,,,,,,,,,,,,,
commercial rug,USD,5000,0%,0%,High,100,2.26,30.7,,,,,,,,,,,,,,,,,
best professional carpet cleaner,USD,500,0%,-90%,High,99,1.15,8,,,,,,,,,,,,,,,,,
green clean carpet cleaning,USD,5000,0%,0%,High,95,1.7,10.01,,,,,,,,,,,,,,,,,
professional carpet steam cleaner,USD,5000,0%,0%,High,100,1.11,6.93,,,,,,,,,,,,,,,,,
zerorez carpet cleaning specials,USD,500,900%,0%,Medium,41,2.24,9.86,,,,,,,,,,,,,,,,,
bissell turboclean dualpro pet,USD,500,0%,0%,High,100,0.33,3.04,,,,,,,,,,,,,,,,,
stanley steemer coupons 3 rooms for $99,USD,50,0%,0%,Medium,34,1.04,7.28,,,,,,,,,,,,,,,,,
heavy duty carpet cleaner,USD,5000,0%,0%,High,100,0.6,5,,,,,,,,,,,,,,,,,
zerorez carpet cleaning near me,USD,500,0%,0%,Medium,66,2.22,10,,,,,,,,,,,,,,,,,
carpet service near me,USD,500,0%,0%,High,84,5.21,36.02,,,,,,,,,,,,,,,,,
spot bot pet,USD,50,900%,900%,High,100,0.37,1.17,,,,,,,,,,,,,,,,,
office carpet cleaning,USD,500,0%,0%,Low,31,8.4,55.14,,,,,,,,,,,,,,,,,
oriental carpet cleaning,USD,5000,0%,0%,Medium,37,2.62,11,,,,,,,,,,,,,,,,,
target carpet cleaner,USD,5000,0%,0%,High,100,0.38,4.18,,,,,,,,,,,,,,,,,
rug cleaning company,USD,500,0%,0%,Medium,44,2.96,14.01,,,,,,,,,,,,,,,,,
carpet and tile cleaning,USD,500,0%,-90%,High,80,3.28,13.38,,,,,,,,,,,,,,,,,
clean green carpet cleaning,USD,500,0%,0%,Low,33,2.43,8.72,,,,,,,,,,,,,,,,,
office carpet cleaning services,USD,500,900%,0%,Low,23,9.96,67.51,,,,,,,,,,,,,,,,,
carpet restretching near me,USD,5000,0%,-90%,Medium,64,1.68,8.37,,,,,,,,,,,,,,,,,
amazon carpet cleaner,USD,5000,900%,0%,High,100,0.53,2.33,,,,,,,,,,,,,,,,,
pet spot cleaner,USD,500,0%,0%,High,100,0.46,1.59,,,,,,,,,,,,,,,,,
bissell pet cleaner,USD,5000,0%,-90%,High,100,0.74,7,,,,,,,,,,,,,,,,,
professional carpet cleaning cost,USD,5000,0%,-90%,Medium,47,2.31,9.41,,,,,,,,,,,,,,,,,
affordable carpet cleaning near me,USD,500,0%,-90%,High,77,3.81,17.49,,,,,,,,,,,,,,,,,
shag rug cleaning,USD,500,0%,-90%,High,72,0.41,6.77,,,,,,,,,,,,,,,,,
lowes carpet cleaner,USD,5000,0%,0%,High,100,0.57,1.88,,,,,,,,,,,,,,,,,
rug dry cleaning,USD,500,0%,-90%,Medium,60,2.18,10.03,,,,,,,,,,,,,,,,,
carpet cleaner for stairs,USD,5000,0%,0%,High,100,0.46,5.96,,,,,,,,,,,,,,,,,
best hoover carpet cleaner,USD,500,0%,0%,High,100,0.38,1.19,,,,,,,,,,,,,,,,,
carpet cleaning coupons,USD,500,0%,0%,Medium,60,1.43,8.74,,,,,,,,,,,,,,,,,
pure clean carpet cleaning,USD,500,0%,0%,Medium,56,3.82,11.4,,,,,,,,,,,,,,,,,
a1 carpet cleaning,USD,5000,0%,0%,Low,25,2.3,10,,,,,,,,,,,,,,,,,
carpet and couch cleaner,USD,5000,0%,0%,High,99,1.58,12.26,,,,,,,,,,,,,,,,,
pet urine carpet cleaner,USD,5000,0%,0%,High,93,0.71,8.88,,,,,,,,,,,,,,,,,
hoover rug cleaner,USD,5000,0%,0%,High,100,0.31,1.06,,,,,,,,,,,,,,,,,
sears carpet cleaning specials,USD,50,0%,0%,High,69,2.76,10,,,,,,,,,,,,,,,,,
natural carpet,USD,500,0%,0%,High,100,0.72,4.02,,,,,,,,,,,,,,,,,
wool carpet cleaning,USD,5000,0%,0%,High,85,0.75,9.93,,,,,,,,,,,,,,,,,
carpet and furniture cleaning,USD,5000,0%,0%,High,93,1.48,12,,,,,,,,,,,,,,,,,
hoover portable carpet cleaner,USD,5000,0%,0%,High,100,0.31,0.93,,,,,,,,,,,,,,,,,
best commercial carpet cleaner,USD,500,0%,0%,High,100,0.64,3.93,,,,,,,,,,,,,,,,,
carpet cleaner with upholstery attachment,USD,500,0%,0%,High,100,0.45,1.33,,,,,,,,,,,,,,,,,
carpet shampooing near me,USD,500000,0%,0%,Medium,64,2.77,14.71,,,,,,,,,,,,,,,,,
superior carpet cleaning,USD,5000,0%,-90%,Medium,50,2.23,11.79,,,,,,,,,,,,,,,,,
professional wool rug cleaning,USD,500,0%,0%,Medium,40,2.27,9.52,,,,,,,,,,,,,,,,,
best carpet cleaning service near me,USD,500,0%,-90%,High,82,3.1,15.24,,,,,,,,,,,,,,,,,
zerorez raleigh,USD,500,0%,0%,Medium,39,0.66,3.84,,,,,,,,,,,,,,,,,
premier carpet cleaning,USD,5000,900%,0%,Low,24,2.4,10.75,,,,,,,,,,,,,,,,,
sofa cleaning at home,USD,500,0%,0%,High,95,0.67,6.48,,,,,,,,,,,,,,,,,
area rug cleaning service,USD,5000,0%,0%,Low,13,2.41,12.42,,,,,,,,,,,,,,,,,
carpet and sofa cleaner,USD,5000,0%,0%,High,99,1.58,12.26,,,,,,,,,,,,,,,,,
rug steam cleaner,USD,50000,0%,0%,High,100,0.54,6.83,,,,,,,,,,,,,,,,,
commercial carpet extractor,USD,5000,0%,0%,High,100,1.05,5.96,,,,,,,,,,,,,,,,,
area rug cleaning cost,USD,500,0%,0%,Medium,51,1.84,8,,,,,,,,,,,,,,,,,
best carpet cleaning company near me,USD,5000,0%,0%,High,79,2.76,12.91,,,,,,,,,,,,,,,,,
alpine specialty cleaning,USD,500,0%,-90%,Medium,37,1.29,16.56,,,,,,,,,,,,,,,,,
carpet upholstery cleaner,USD,5000,0%,0%,High,80,0.82,10.33,,,,,,,,,,,,,,,,,
steamatic carpet cleaning,USD,500,0%,0%,Medium,56,2.83,11.79,,,,,,,,,,,,,,,,,
best carpet cleaner for stairs,USD,500,0%,0%,High,100,0.52,2.03,,,,,,,,,,,,,,,,,
rug restoration near me,USD,500,0%,0%,Medium,46,1.74,8.68,,,,,,,,,,,,,,,,,
top carpet cleaners,USD,500,0%,0%,High,100,0.53,2.48,,,,,,,,,,,,,,,,,
non toxic area rugs,USD,500,0%,0%,High,100,0.93,3.27,,,,,,,,,,,,,,,,,
coit rug cleaning,USD,5000,0%,0%,High,84,3,16.41,,,,,,,,,,,,,,,,,
stanley steemer carpet cleaning specials,USD,5000,0%,0%,Low,28,1.11,6.47,,,,,,,,,,,,,,,,,
zero residue carpet cleaning,USD,500,0%,0%,High,69,4.52,17.48,,,,,,,,,,,,,,,,,
woolite carpet cleaner,USD,5000,0%,0%,High,100,0.22,1.33,,,,,,,,,,,,,,,,,
area rug near me,USD,50000,0%,0%,High,100,0.63,3.04,,,,,,,,,,,,,,,,,
carpet service,USD,500,0%,0%,Medium,39,7.1,35.39,,,,,,,,,,,,,,,,,
bissell extractor,USD,500,0%,-90%,High,100,0.44,7,,,,,,,,,,,,,,,,,
best way to clean carpet,USD,5000,0%,0%,High,95,0.62,4.28,,,,,,,,,,,,,,,,,
deep carpet cleaning near me,USD,500,0%,-90%,High,73,3.07,15.19,,,,,,,,,,,,,,,,,
ryobi carpet cleaner,USD,5000,0%,0%,High,100,0.4,0.75,,,,,,,,,,,,,,,,,
commercial carpet cleaning near me,USD,5000,0%,0%,Low,23,6.26,45.62,,,,,,,,,,,,,,,,,
area rug carpet cleaning,USD,500,0%,0%,High,68,1.66,10,,,,,,,,,,,,,,,,,
quick dry carpet cleaning,USD,500,0%,0%,Medium,60,2.07,10,,,,,,,,,,,,,,,,,
extreme carpet cleaning,USD,5000,0%,-90%,Medium,53,3.03,12.06,,,,,,,,,,,,,,,,,
natural carpet cleaner,USD,5000,0%,0%,High,93,0.56,4.65,,,,,,,,,,,,,,,,,
quality carpet cleaning,USD,500,0%,-90%,High,67,2.95,17.01,,,,,,,,,,,,,,,,,
deluxe carpet cleaning,USD,500,0%,0%,Low,28,2.75,11.09,,,,,,,,,,,,,,,,,
oriental carpet,USD,50000,0%,0%,High,100,0.76,3.9,,,,,,,,,,,,,,,,,
local carpet cleaners near me,USD,500,0%,-90%,High,84,2.86,15.01,,,,,,,,,,,,,,,,,
bissell turboclean powerbrush pet carpet cleaner,USD,5000,0%,0%,High,100,0.39,1.79,,,,,,,,,,,,,,,,,
bissell commercial carpet cleaner,USD,500,0%,0%,High,100,0.51,2.48,,,,,,,,,,,,,,,,,
sofa cleaning company,USD,500,0%,0%,Medium,65,2.97,12.35,,,,,,,,,,,,,,,,,
pro carpet cleaning,USD,50000,0%,0%,High,87,2.7,13.38,,,,,,,,,,,,,,,,,
good carpet cleaner,USD,5000,0%,0%,High,100,0.54,4.3,,,,,,,,,,,,,,,,,
rug doctor pro,USD,5000,0%,0%,High,100,0.34,1.39,,,,,,,,,,,,,,,,,
best hand held carpet cleaner,USD,500,0%,0%,High,100,0.57,1.56,,,,,,,,,,,,,,,,,
